Durcir les suites cryptographiques de l'interface d'administration;Configurez l'interface web d'un SNS pour n'accepter que des suites TLS avec ECDHE.;Utiliser la commande NSRPC config auth https cipherlist="ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-AES256-SHA384" puis config auth activate.
Vérifier la configuration TLS active de l'interface d'administration;Affichez la configuration actuelle du paramétrage TLS du service d'administration web.;Exécuter la commande NSRPC config auth show.
Imposer la vérification des CRL pour un tunnel IPsec;Rendez obligatoire la vérification de la liste de révocation de certificats pour la configuration IPsec numéro 01.;config ipsec update slot=01 CRLrequired=1 puis config ipsec activate.
Activer un service IPsec après modification de configuration;Réactivez les configurations IPsec 00 et 01 en mode console après une modification.;Exécuter la commande envpn 00 && envpn 01.
Configurer le point de distribution automatique d'une CRL;Déclarez l'URL de récupération automatique de la CRL pour une autorité de certification nommée AC-INTERNE.;pki ca checkcrl add caname=AC-INTERNE uri=<URL de la CRL>, puis activer la récupération automatique dans le menu Système, Configuration.
Ajuster la fenêtre anti-rejeu d'un profil IPsec;Le trafic QoS sur le réseau de transit provoque des pertes de paquets légitimes sur un tunnel IPsec, augmentez la fenêtre anti-rejeu de la configuration 01 à 128.;config ipsec profile phase2 update replaywsize=128, valeur comprise entre 0 et 33554400 par incrément de 8.
Mettre en place une sauvegarde automatique locale chiffrée quotidienne;Configurez une sauvegarde automatique locale et chiffrée de la configuration, déclenchée tous les jours.;config autobackup set state=1 distantbackup=0 period=1d backuppassword=<mon_mot_de_passe> puis config autobackup activate.
Ouvrir un fichier de sauvegarde Stormshield hors de l'équipement;Vous disposez d'un fichier backup.na.enc protégé par mot de passe et souhaitez en extraire les fichiers de configuration sur un poste Linux.;decbackup -i backup.na.enc -o backup.tar.gz -p <mot_de_passe>, puis extraire l'archive tar.gz obtenue.
Interroger un équipement SNS en SNMPv3 sécurisé;Vérifiez à distance le bon fonctionnement de la configuration SNMPv3 d'un pare-feu, avec authentification et chiffrement.;snmpwalk -v 3 -u <user_snmp> -l authPriv -a SHA -x AES <ip_admin_SNS>, avec les mots de passe positionnés dans le fichier de configuration snmpwalk plutôt qu'en ligne de commande.
Récupérer le nom de la politique de filtrage active par SNMP;Interrogez un équipement SNS pour connaître le nom de sa politique de filtrage réseau actuellement active.;snmpwalk -v 3 -u <user_snmp> -l authPriv -a SHA -x AES <ip_admin_SNS> .1.3.6.1.4.1.11256.1.8.1.1.3.1.
Forcer une valeur du champ DSCP sur les flux IPsec sortants;Dans un contexte de sécurité renforcée, empêchez la recopie du champ DSCP d'origine sur les paquets chiffrés sortants, en la fixant à une valeur arbitraire.;Dans l'onglet Qualité de service de l'action d'une règle de filtrage passante sur les flux chiffrés sortants, activer Forcer la valeur et choisir la Nouvelle valeur DSCP, ce qui nécessite au préalable la désactivation des règles implicites de sortie (section 5.2) et la création d'une règle de filtrage explicite.
Exercice de synthèse 1;Un pare-feu SNS doit être déployé en bordure d'un système d'information sensible, avec un tunnel VPN IPsec site-à-site vers un partenaire. Décrivez la séquence de configuration sécurisée à appliquer, du plus général au plus spécifique.;Créer des comptes nominatifs pour les administrateurs et dédier une interface Ethernet à l'administration (R1, R13), désactiver les interfaces inutilisées et déclarer les interfaces internes pour l'antispoofing avec routes statiques associées (R20, R21, R22), désactiver les règles implicites après création des règles explicites d'administration (R30), configurer un profil de chiffrement IKEv2 avec AES-GCM 256, SHA 384 et le groupe Diffie-Hellman 19 (R38, R39), utiliser l'authentification mutuelle par certificat issu d'une IGC externe maîtrisée (R34, R40), définir une route de blackholing vers la boucle locale pour les réseaux distants IPsec et vérifier que filtrage, NAT avant IPsec et politique IPsec respectent l'ordre de spécificité imposé (R41), activer le Dead-Peer-Detection (R47), enfin activer la journalisation centralisée et sécurisée par TLS (R54, R56).
Exercice de synthèse 2;Après un audit, vous découvrez qu'un pare-feu SNS utilise le compte admin local pour toutes les connexions quotidiennes, présente encore ses règles de filtrage implicites actives, et n'a aucune sauvegarde configurée. Proposez un plan de remédiation ordonné, en évitant toute coupure de service.;1) Créer des comptes nominatifs pour chaque administrateur et leur attribuer des droits ajustés via des groupes (R1, R9, R10), réserver le compte admin local aux opérations exceptionnelles avec mot de passe en coffre-fort (R2). 2) Avant de toucher aux règles implicites, créer explicitement les règles HTTPS/NSRPC/SSH nécessaires à l'administration depuis les groupes d'objets d'administration définis (R11, R12), puis seulement désactiver les règles implicites (R30). 3) Mettre en place une sauvegarde automatique vers un serveur WebDAV maîtrisé en HTTPS authentifié, ou à défaut un export SSH initié par l'équipement (R53, R53-). Tester chaque étape en environnement de pré-production ou à défaut hors heures critiques, avec une sauvegarde de la configuration existante avant toute modification.
