"Qui impliquer le plus en amont possible d'une migration ?","Les équipes métier, la DSI et la sécurité (RSSI, SOC, experts sécurité)."
"Que maintenir à jour avant/pendant/après la migration ?","La cartographie des SI et leurs inventaires, jusqu'au décommissionnement complet."
"Que mettre à jour pour garantir la conformité de la nouvelle solution ?","L'analyse de risque (disponibilité, intégrité, confidentialité, traçabilité) et les PCA/PRA."
"Que vérifier en cas d'externalisation de la migration ?","Le niveau de sécurité contractuel et les conditions de réversibilité, en privilégiant des prestataires qualifiés ANSSI."
"Comment sécuriser les données sensibles en transit ?","Les chiffrer, avec une attention particulière aux exports massifs (risque de fuite)."
"Que faut-il anticiper pour les sauvegardes pendant une migration ?","Leur délai d'expiration et la conservation des infrastructures pour les restaurer jusqu'à expiration."
"Que vérifier sur les moyens d'administration avant la migration ?","Qu'ils sont de confiance (intègres, non compromis), puis que les socles cibles le sont aussi."
"Quand ne faut-il faire aucune modification impactante du SI ?","Pendant la phase critique de migration ; uniquement en amont ou en aval."
"Que faire concernant le SOC avant une migration ?","Identifier les impacts sur sa couverture/supervision et communiquer le planning pour éviter les faux positifs."
"Que contrôler avant et après la migration ?","Le bon fonctionnement des équipements de sécurité (EDR, pare-feu, antivirus)."
"Quand une migration peut-elle être lancée ?","Une fois toutes les procédures opérationnelles et de sécurité (y compris HNO) définies et testées."
"Que faire après une migration pour la sécurité ?","Un audit post-migration, renouvelé régulièrement, avec contre-mesures adaptées."
"Sur quoi s'appuie le décommissionnement post-migration ?","La sensibilité des données et les textes de loi (instruction n°901, arrêté du 20 août 2024)."
