"Pourquoi les infrastructures cloud sont-elles ciblées par les attaquants ?","Concentration des données, mutualisation, et risque de lois extraterritoriales."
"Quels sont les trois éléments clés des recommandations ANSSI sur le cloud ?","La typologie des offres, l'état de la menace, la nature du SI."
"À qui revient la décision de migrer vers le cloud ?","À la plus haute autorité de l'entité, éclairée par étude d'impact et analyse de risques."
"Que prévoir pour limiter la dépendance à un hébergeur cloud ?","Une clause de réversibilité."
"Différence entre offre cloud publique et privée ?","Publique = mutualisée entre tous les clients ; privée = ressources dédiées physiquement à un client."
"Quelles offres cloud étatiques françaises non commerciales sont citées ?","Pi et Nubo."
"Qu'est-ce que la menace stratégique ?","Attaques persistantes et ciblées, menées/financées par un État (espionnage, sabotage)."
"Qu'est-ce que la menace systémique ?","Cybercriminalité opportuniste et outils offensifs commercialisés (rançongiciels, fraudes)."
"Qu'est-ce que SecNumCloud ?","Le référentiel ANSSI de règles de sécurité pour les offres cloud, avec qualification/visa de sécurité."
"SecNumCloud dispense-t-il le client de sécuriser ses services ?","Non — le client reste responsable (ex. protéger son site contre les injections SQL)."
"Qu'est-ce qu'un SIIV ?","Un système dont l'atteinte diminuerait le potentiel de guerre/économique ou la sécurité de la Nation."
"Que recommande la doctrine cloud au centre pour son périmètre ?","Un hébergement exclusivement dans des offres qualifiées SecNumCloud."
"À quoi porter attention quand l'accès dépend de la nationalité (ex. DR Spécial France) ?","Le lieu d'hébergement et la nationalité des administrateurs — une offre non commerciale peut être préférable."
