"Mode d'adressage à privilégier ?","64 bits (AMD64/x86_64/Intel 64) quand la machine le supporte."
"Condition pour NX/XD en mode 32 bits ?","Support du mode PAE (nativement présent en 64 bits)."
"Pourquoi désactiver l'Hyper-Threading sur des machines multi-contextes de sécurité ?","Partage de ressources → canaux auxiliaires (extraction de clés privées sans coopération du processus ciblé)."
"Rôle de SMEP ?","Empêcher l'exécution de code d'un espace moins privilégié (ex. noyau exécutant du code utilisateur)."
"Rôle de SMAP ?","Empêcher un contexte privilégié d'accéder en lecture/écriture à des pages mémoire moins privilégiées."
"Avantage sécurité d'AES-NI (au-delà perf) ?","Protection contre les attaques par canal auxiliaire temporel (cache timing)."
"Bonne pratique RDRAND/RDSEED ?","Combiner à d'autres sources d'aléa, jamais en substitution complète (utile au démarrage, entropie faible)."
"VT-x/AMD-V recommandé ?","Non : à désactiver par précaution sauf besoin strict (risque de rootkits indétectables)."
"IOMMU (VT-d/AMD-Vi) recommandée ?","Oui, si supportée - protège contre les attaques DMA de périphériques malveillants. Valider fonctionnellement après activation."
"VT-x nécessaire pour profiter de l'IOMMU ?","Non, l'IOMMU fonctionne indépendamment de VT-x."
"Protection de l'accès au BIOS ?","Mot de passe obligatoire, unique par machine."
"Principe de minimisation au niveau BIOS ?","Désactiver les composants/connecteurs non requis (USB, eSATA, Wifi/BT intégrés...)."
"Ordre de démarrage recommandé ?","Priorité maximale au support du système final ; aucun autre périphérique ne doit intervenir."
"Bit NX/XD dans le BIOS ?","Doit être activé (nommé parfois 'Enable NX bit' ou 'Enable execute-disable bit')."
"Limite des recommandations matérielles de ce guide ?","Aucune évaluation de sécurité ANSSI formelle réalisée - ne suffisent pas seules comme gage de robustesse."
"Constructeur ayant introduit SMEP en premier ?","Intel (Ivy Bridge) ; non supporté par AMD selon le guide."
"Exemples cités de contextes de sécurité distincts (Hyper-Threading) ?","Frontaux SSL/TLS, reverse proxy, passerelles VPN."
"Pourquoi préférer une implémentation crypto existante à AES-NI direct ?","Usage correct nécessite une bonne connaissance de l'AES ; bibliothèques déjà à jour (OpenSSL ≥1.0.1, etc.)."
"Risque de forcer l'IOMMU ?","Dysfonctionnements (périphériques/contrôleurs non reconnus, erreurs E/S)."
"Tableau récapitulatif : fonctionnalités déconseillées ?","Hyper-Threading et VT-x/AMD-V (sauf besoin explicite) — toutes les autres du guide sont recommandées."
