Quelle est la définition d'un 'accès local' en cybersécurité ?,Il s'agit d'attaques nécessitant un accès physique au réseau ou à un équipement.
Comment le CyberDico de l'ANSSI définit-il les 'actes de cybermalveillance' ?,"Toute infraction commise par voie numérique, comme le phishing, le piratage ou l'usurpation d'identité."
Quel est le terme français pour 'Adware' ?,Logiciel publicitaire.
Quel est le but principal d'un 'adware' ou logiciel publicitaire ?,Afficher des bandeaux publicitaires via le navigateur Internet de l'utilisateur.
Qu'est-ce que l'activité d''alerte' en cybersécurité ?,Avertir une entité lors de la détection d'un potentiel incident de sécurité la concernant.
Quel est le terme anglais pour 'Alerte malveillante' qui déclenche une réponse des forces de police ?,Swatting.
Quel est l'objectif de l''analyse du risque numérique' ?,Apprécier les risques numériques pesant sur une organisation et identifier les mesures de sécurité pour les maîtriser.
"Une _____ consiste à obtenir des informations sur un système en observant les signaux qu'il émet, comme sa consommation électrique.",attaque par canal auxiliaire (Side-channel-attack)
Quel type d'attaque exploite des authentifiants précédemment exposés ?,Attaque par saisie d’authentifiants volés (Credential stuffing).
Qu'est-ce qu'une attaque par saturation téléphonique (AST) ?,Une attaque visant à empêcher les appels d'aboutir en émettant un nombre important d'appels vers un numéro.
"Selon l'ANSSI, qu'est-ce que l'authenticité d'une information ?",La garantie que l'information est attribuée à son auteur légitime.
Quelle est la fonction de l'authentification ?,Vérifier l'identité dont une entité (personne ou machine) se réclame.
Sur quel type de protocole repose souvent une 'authentification forte' ?,Des protocoles dits défi-réponse.
Quelle est l'action d'une 'attaque par interruption de service' (DoS) ?,Empêcher ou limiter fortement la capacité d'un système à fournir le service attendu.
Quel est le terme français pour 'Backdoor' ?,Porte dérobée.
En quoi consiste la technique du 'balayage de ports' (Port scanning) ?,Envoyer des paquets de données sur les ports d'une machine pour en déduire leur état de disponibilité.
Quel est le terme français pour 'Blockchain' ?,Chaîne de blocs.
Qu'est-ce qu'un 'bombardement de courriels' (Mail bombing) ?,L'envoi d'une grande quantité de courriels à un destinataire unique dans une intention malveillante.
Une _____ est un logiciel malveillant conçu pour causer des dommages lorsqu'une condition spécifique est remplie.,bombe logique (Logic bomb)
Quel type de maliciel infecte le processus de démarrage du système d’exploitation pour en prendre le contrôle ?,Un bootkit.
Quel est le terme français pour 'Botnet' ?,Réseau de machines zombies.
