"EBGP ?","Sessions BGP établies entre AS distincts (par opposition à IBGP, au sein d'un même AS)."
"BGP protège-t-il nativement ses sessions ?","Non : repose sur TCP, vulnérable au TCP RST. TCP MD5 apporte une protection complémentaire."
"TCP MD5 conforme au RGS ?","Non, mais reste utile en l'absence d'alternative (RFC 5925 non implémentée par les équipements testés)."
"Quand TCP MD5 est-il fortement recommandé ?","En multi-hop ou via un équipement partagé (ex. commutateur de point d'échange), avec un secret fort distinct par interconnexion."
"Qu'est-ce qu'un martian ?","Préfixe réservé (ex. adresses privées) qui ne doit jamais être annoncé sur Internet - filtrage systématique entrée/sortie."
"Longueur de masque max recommandée ?","/24 en IPv4, /48 en IPv6 (limite la taille de la table de routage globale)."
"Annonce de la route par défaut ?","Non, sauf demande explicite d'un client (évite de devenir un AS de transit involontaire)."
"Numéros d'AS privés ?","64512-65534 (16 bits) ou 4200000000-4294967294 (32 bits) - à supprimer systématiquement en bordure."
"Pourquoi filtrer le nombre max de préfixes par pair ?","Se prémunir d'une réannonce accidentelle de toute la table de routage globale par un client (incidents réels déjà survenus)."
"Filtrage sur l'AS_PATH ?","Rejeter les annonces où le 1er AS de l'AS_PATH ≠ AS du pair (ex. bgp enforce-first-as sur Cisco, actif par défaut)."
"Journalisation des changements d'adjacence par défaut ?","Non par défaut sur Cisco/Juniper ; oui par défaut sur Alcatel-Lucent/OpenBGPD - à activer et remonter en supervision."
"Rôle du Graceful Restart ?","Conserver le transfert des paquets pendant le redémarrage du processus BGP (routes 'périmées' conservées temporairement)."
"3 modes URPF ?","Strict (interface = route FIB), Feasible path (+ routes alternatives), Loose (source routable, interface ignorée)."
"URPF strict et routage asymétrique ?","Incompatible : rejette à tort du trafic légitime si le chemin aller ≠ chemin retour."
"Mode URPF disponible en multihoming (hors Juniper) ?","Le mode loose (feasible path seulement implémenté chez Juniper)."
"Pourquoi le plan de contrôle est plus vulnérable au DoS que le plan de transfert ?","Unités de calcul génériques, bien moins puissantes que les ASIC dédiés du plan de transfert (RFC 6192)."
"Mesures de durcissement d'accès au routeur ?","SSH + clé publique, interface d'administration dédiée, IP autorisées restreintes, comptes dédiés, services inutiles désactivés."
"Relation de peering ?","Échange de préfixes entre deux AS sans que l'un fournisse un service de transit à l'autre."
"Échelle des niveaux de recommandation du guide ?","3 étoiles : souhaitable, recommandé, fortement recommandé (selon interconnexion/relation)."
"OS routeurs testés dans le guide ?","SR-OS (Alcatel-Lucent), IOS (Cisco), Junos (Juniper), OpenBGPD (OpenBSD)."
