Quelle est la période couverte par la nouvelle stratégie nationale de cybersécurité française ?,La stratégie couvre la période de 2026 à 2030.
"Selon la préface d'Emmanuel Macron, qu'est-ce que la cybersécurité est devenue à l'ère du numérique ?","Elle est devenue une condition de la liberté, une exigence vitale et un impératif stratégique."
Quelle est l'ambition principale fixée pour la France par la Revue nationale stratégique en matière de cyber ?,L'ambition est d'atteindre une résilience cyber de premier rang d'ici 2030.
Combien de piliers structurent la stratégie nationale de cybersécurité 2026-2030 ?,La stratégie est structurée autour de cinq piliers.
Quel est l'énoncé du Pilier 1 de la stratégie nationale de cybersécurité ?,Faire de la France le plus grand vivier de talents cyber d’Europe.
Quel est l'énoncé du Pilier 2 de la stratégie nationale de cybersécurité ?,Renforcer la résilience cyber de la Nation.
Quel est l'énoncé du Pilier 3 de la stratégie nationale de cybersécurité ?,Entraver l’expansion de la cybermenace.
Quel est l'énoncé du Pilier 4 de la stratégie nationale de cybersécurité ?,Garder la maitrise de la sécurité de nos fondements numériques.
Quel est l'énoncé du Pilier 5 de la stratégie nationale de cybersécurité ?,Soutenir la sécurité et la stabilité du cyberespace en Europe et à l’international.
"Selon la stratégie, le cyberespace est devenu un miroir des tensions géopolitiques et des rivalités internationales, le qualifiant d'espace de _____, de contestation et parfois d’affrontement.",compétition
Quelles technologies de rupture sont citées comme amplifiant les risques de cybersécurité ?,Les systèmes d'intelligence artificielle et l'émergence potentielle de l'ordinateur quantique.
"Le modèle national de cybersécurité français, reconnu internationalement, sépare quelles missions de cyberdéfense ?",Il sépare les missions défensives et les missions offensives.
Quel est l'axe prioritaire au cœur de la stratégie nationale de cybersécurité ?,La capacité de la France à développer et attirer les talents dans les domaines de la cybersécurité (Pilier 1).
Quel double enjeu l'Objectif 1 (Développer une culture de la cybersécurité dès le plus jeune âge) vise-t-il à adresser ?,Diffuser une culture de la cybersécurité et créer le vivier de talents de demain.
Quelle initiative spécifique sera mise en place pour les jeunes filles afin de les attirer vers les métiers de la cybersécurité ?,Un programme de mentorat spécifique sera mis en place.
Quelle plateforme la France créera-t-elle pour valoriser les formations et les métiers de la cybersécurité ?,Une plateforme nationale pour l’orientation vers ces métiers.
"Que sont les ""stratégies passerelles"" que la France mettra en œuvre dans le domaine de la formation ?",Ce sont des stratégies pour favoriser la fertilisation croisée des expertises entre différentes disciplines scientifiques et technologiques cyber et non cyber.
"Au niveau européen, la France encouragera la création de cursus de formation _____ et reconnus dans tous les pays de l'UE.",harmonisés
