Qu'est-ce qu'un JRE ?;Un module complémentaire exclusif à Internet Explorer;Un environnement d'exécution Java nécessaire au fonctionnement des applications Java;Un protocole de chiffrement des communications Java;Un langage de programmation interprété par les navigateurs;3;Son installation préalable est requise sur les postes utilisateurs.
Pourquoi les vulnérabilités Java posent-elles un problème particulier de sécurité ?;Elles sont souvent exploitées avant leur publication et correction, sous forme de codes zero-day;Elles sont systématiquement corrigées automatiquement en quelques heures;Elles ne concernent que les serveurs, jamais les postes utilisateurs;Elles ne touchent que les versions 64 bits du JRE;2;La mise à jour du JRE n'est par ailleurs pas nécessairement automatique.
Pourquoi des outils comme EMET peuvent-ils être d'une efficacité limitée face aux vulnérabilités Java ?;EMET n'est jamais compatible avec les systèmes Windows;Les vulnérabilités Java consistent la plupart du temps en des échappements de bac à sable, sans exploiter la JVM elle-même;Les vulnérabilités Java n'existent que sur les systèmes Linux;EMET bloque systématiquement toute exécution de code Java;3;Ces outils protègent contre d'autres types de techniques d'exploitation.
Pourquoi plusieurs versions majeures de JRE peuvent-elles cohabiter sur un même poste ?;Windows installe automatiquement toutes les versions disponibles de Java;Cela est requis par défaut pour toute installation d'Internet Explorer;Le JRE ne peut jamais être désinstallé une fois installé;Certaines applications ne sont compatibles qu'avec une version précise, souvent ancienne et vulnérable;5;Cela peut imposer la présence de versions vulnérables non corrigées sur le poste.
Quel navigateur reste le seul en mesure d'exécuter des appliquettes Java après fin 2016 selon ce guide ?;Microsoft Edge;Google Chrome;Microsoft Internet Explorer 11;Mozilla Firefox;4;Les modules NPAPI ne sont plus supportés par Chrome depuis 2015, et Edge ne permet pas l'exécution d'appliquettes.
Que recommande le guide face à l'obsolescence annoncée des appliquettes Java ?;Anticiper cette obsolescence en remplaçant ou en faisant évoluer les applications concernées;Migrer systématiquement vers Java Web Start sans analyse préalable;Désactiver Java uniquement sur les postes des administrateurs;Ignorer cette obsolescence, elle ne concerne que les environnements de test;2;Cela concerne aussi bien les développeurs que les équipes d'administration.
Pourquoi les applications lourdes Java sont-elles parfois difficiles à recenser par les outils automatisés ?;Elles nécessitent systématiquement une licence commerciale;Elles ne s'exécutent que sur des serveurs distants;Elles sont toujours signées par un éditeur inconnu;Elles ne sont pas nécessairement considérées comme des applications installées;5;La voie organisationnelle reste alors incontournable pour un recensement précis.
Que recommande le guide pour les JRE inutilement présents sur un poste de travail ?;Les isoler dans un conteneur applicatif dédié;Les désinstaller et mettre en place des mesures empêchant leur réinstallation;Les mettre à jour vers la dernière version sans les désinstaller;Les conserver au cas où une application en aurait besoin ultérieurement;3;Le retrait des droits d'administration locaux et l'usage d'AppLocker sont cités parmi les mesures possibles.
Que recommande le guide lorsque seules des applications lourdes Java sont utilisées ?;Désactiver le module complémentaire Java et Java Web Start dans les navigateurs;Bloquer uniquement les fichiers .exe, jamais les fichiers .jar;Activer le module complémentaire Java sur tous les navigateurs par précaution;Installer systématiquement Java Web Start sur tous les postes;2;Les appliquettes et fichiers JNLP doivent en outre être filtrés au niveau des serveurs mandataires.
Quelle est la solution de migration la plus complète pour une appliquette Java devant être conservée ?;La convertir automatiquement en script PowerShell;L'exécuter exclusivement via une machine virtuelle dédiée;La ré-écrire en application Java Web Start autonome;La remplacer par un simple lien de téléchargement direct;4;Cela permet de bénéficier pleinement des fonctionnalités de Java Web Start et d'anticiper l'obsolescence des appliquettes.
Quel inconvénient présente la migration simple d'une appliquette Java sans recompilation ?;Elle nécessite obligatoirement une licence Oracle payante;Elle rend l'application incompatible avec tous les navigateurs;Elle ne permet pas d'anticiper l'obsolescence des appliquettes à partir de Java 9;Elle empêche définitivement l'usage de Java Web Start;4;Elle permet en revanche de prendre en compte la fin du support des appliquettes dans les navigateurs.
