Combien de niveaux de confiance compose le modèle historique en trois Tiers de Microsoft ?;Cinq;Deux;Un seul niveau global;Trois;5;Tier 0, Tier 1 et Tier 2, du plus sensible au moins sensible.
Que représente le Tier 0 dans le modèle de gestion des accès privilégiés ?;Le cœur de confiance de l'organisation, dont dépend le contrôle de toutes les ressources AD;Uniquement les serveurs de sauvegarde;Les accès programmatiques via des API;Les postes de travail bureautiques des utilisateurs;2;Les contrôleurs de domaine en sont un exemple typique.
Que porte principalement le Tier 1 selon ce guide ?;Rien de sensible, c'est un niveau neutre;Les consoles industrielles exclusivement;Les valeurs métiers de l'organisation et leurs biens supports;Les postes de travail bureautiques uniquement;4;Ce sont par exemple des serveurs de gestion de code source ou des équipements critiques de production.
Pourquoi la protection du Tier 1 est-elle jugée tout aussi essentielle que celle du Tier 0 ?;Parce que le Tier 1 est techniquement plus difficile à sécuriser;Ce n'est pas le cas, seul le Tier 0 compte réellement;Parce que le Tier 0 n'a en réalité aucune importance stratégique;Parce que les valeurs et missions métiers de l'organisation y sont réellement portées;5;Une fois le Tier 0 sécurisé, les efforts doivent rapidement se porter sur le Tier 1.
Qu'est-ce qu'un chemin de contrôle (ou chemin d'attaque) ?;Un protocole de chiffrement des communications AD;Un type de sauvegarde automatique de l'annuaire;Une méthode d'installation de contrôleur de domaine;Une succession de relations de permissions ou de dépendances permettant de progresser vers une ressource de plus haute confiance;5;Leur analyse est une étape décisive de la catégorisation en Tiers.
Pourquoi le cloisonnement réseau seul est-il insuffisant pour sécuriser un SI reposant sur AD ?;Le cloisonnement réseau n'a jamais aucun effet sur la sécurité;Les pare-feux ne fonctionnent pas du tout avec les architectures Windows;Les protocoles Windows comme RPC, SMB ou Kerberos doivent être autorisés entre systèmes et DC sans que leur contenu puisse être filtré;AD n'utilise aucun protocole réseau, tout est local;4;Le cloisonnement doit donc aussi reposer sur le système, la logique de l'annuaire et le physique.
Quel est le périmètre idéal d'application du modèle de gestion des accès privilégiés ?;L'ensemble d'Internet;Un seul site géographique quelle que soit la forêt;Un unique contrôleur de domaine isolé;La forêt AD, frontière de sécurité stricte;5;En environnement multiforêt, les relations d'approbation peuvent toutefois étendre les Tiers aux forêts approuvées.
Que recommande le guide concernant le compte krbtgt ?;Renouveler régulièrement son mot de passe;Ne jamais le renouveler pour éviter toute interruption;Le partager entre plusieurs comptes administrateurs;Le supprimer définitivement dès l'installation d'AD;2;Ce compte porte la confiance de l'ensemble des tickets Kerberos du domaine.
Dans quel cadre Windows Defender Credential Guard (WDCG) doit-il être utilisé selon ce guide ?;Uniquement sur les postes du Tier 2;Il ne doit jamais être activé, quel que soit le contexte;Comme unique et suffisante mesure de protection des secrets;Uniquement dans une démarche de défense en profondeur, en complément d'autres mesures;5;Il ne remplace pas les autres recommandations de traitement des secrets réutilisables.
Windows Defender Remote Credential Guard (WDRCG) peut-il être utilisé entre zones de confiance hétérogènes ?;Cela dépend uniquement de la version de Windows utilisée;Oui, mais uniquement en sens descendant;Oui, c'est justement sa fonction principale;Non, cela ne doit jamais être fait;5;Cela exposerait les secrets réutilisables d'un Tier de haute confiance à une machine de moindre confiance.
Que recommande le guide concernant l'authentification NTLM des comptes du Tier 0 ?;Elle n'a aucun impact sur la sécurité du Tier 0;L'activer par défaut pour la compatibilité avec les anciens systèmes;L'interdire, et bloquer le trafic NTLM sortant depuis le Tier 0;L'utiliser exclusivement, au détriment de Kerberos;4;Le blocage du trafic NTLM sortant doit ensuite être étendu à tout le SI si possible.
Depuis où le Tier 0 doit-il être administré selon ce guide ?;Depuis n'importe quel poste de travail bureautique connecté au domaine;Depuis des postes personnels des administrateurs, pour plus de flexibilité;Depuis des postes partagés avec les utilisateurs du Tier 2;Depuis des postes d'administration physiquement dédiés;5;Toute mutualisation doit être encadrée voire proscrite selon le contexte.
Que faut-il faire lorsque la sécurité physique d'un site hébergeant un contrôleur de domaine n'est pas assurée ?;Supprimer purement et simplement la présence AD sur ce site;Installer un DC en écriture complète sans restriction;Déployer un RODC (contrôleur de domaine en lecture seule) sécurisé;Ignorer le problème, la sécurité physique n'a pas d'impact sur AD;4;Les recommandations de sécurisation spécifiques aux RODC doivent en plus être appliquées.
Que doit-on faire des relations d'approbation AD sortantes extraforêt ?;Les laisser à leur configuration par défaut, jugée suffisante;Les activer uniquement pour les forêts de Tier 2;Durcir leur configuration, idéalement avec authentification sélective;Les supprimer systématiquement sans exception;4;La délégation Kerberos à travers les relations entrantes doit en plus être interdite.
